π	r1	r2	r3	p_Ê	p_1‰	p _1‰	eta
1	65.0	108.0	150.0	582.6	584.7	1402.3	0.002
2	64.1	108.0	150.0	580.0	590.1	1453.4	0.002
3	64.1	99.5	150.0	580.0	590.1	1273.2	0.002
4	62.0	99.5	150.0	556.6	601.6	1378.4	0.002
5	53.9	99.5	130.0	553.5	600.4	1717.7	0.002
6	51.5	99.5	130.0	552.6	615.6	1916.8	0.002
7	50.5	99.5	130.0	516.4	621.8	2007.7	0.002
8	50.0	99.5	130.0	512.8	624.8	2055.3	0.002
9	50.0	99.5	130.0	445.1	624.8	2055.3	0.002
10	50.0	99.5	116.5	417.2	588.3	1864.2	0.002
11	50.0	99.5	99.5	417.2	522.7	-	-
12	50.0	99.5	99.5	402.8	522.7	-	-
13	50.0	65.0	65.0	104.0	248.4	-	-
14	50.0	70.0	70.0	104.0	307.3	-	-
15	50.0	70.0	70.0	99.8	307.3	-	-
