t	p	V	L	psi	z
0.0	5.0	0.0	0.0	0.0	0.0
1e-05	5.08855	0.0	0.0	4.79381e-05	4.79381e-05
2e-05	5.17868	0.0	0.0	9.67253e-05	9.67253e-05
3e-05	5.27041	0.0	0.0	0.000146377	0.000146377
4e-05	5.36378	0.0	0.0	0.000196908	0.000196908
5e-05	5.4588	0.0	0.0	0.000248334	0.000248334
6e-05	5.55552	0.0	0.0	0.000300671	0.000300671
7e-05	5.65396	0.0	0.0	0.000353935	0.000353935
8e-05	5.75415	0.0	0.0	0.000408144	0.000408144
9e-05	5.85613	0.0	0.0	0.000463313	0.000463313
0.0001	5.95992	0.0	0.0	0.000519459	0.000519459
0.00011	6.06556	0.0	0.0	0.000576601	0.000576601
0.00012	6.17308	0.0	0.0	0.000634756	0.000634756
0.00013	6.28252	0.0	0.0	0.000693941	0.000693941
0.00014	6.3939	0.0	0.0	0.000754176	0.000754176
0.00015	6.50728	0.0	0.0	0.000815479	0.000815479
0.00016	6.62267	0.0	0.0	0.00087787	0.00087787
0.00017	6.74013	0.0	0.0	0.000941366	0.000941366
0.00018	6.85967	0.0	0.0	0.00100599	0.00100599
0.00019	6.98135	0.0	0.0	0.00107176	0.00107176
0.0002	7.1052	0.0	0.0	0.00113869	0.00113869
0.00021	7.23127	0.0	0.0	0.00120682	0.00120682
0.00022	7.35958	0.0	0.0	0.00127615	0.00127615
0.00023	7.49018	0.0	0.0	0.00134671	0.00134671
0.00024	7.62311	0.0	0.0	0.00141852	0.00141852
0.00025	7.75842	0.0	0.0	0.00149161	0.00149161
0.00026	7.89615	0.0	0.0	0.001566	0.001566
0.00027	8.03634	0.0	0.0	0.00164171	0.00164171
0.00028	8.17903	0.0	0.0	0.00171876	0.00171876
0.00029	8.32428	0.0	0.0	0.00179718	0.00179718
0.0003	8.47212	0.0	0.0	0.00187699	0.00187699
0.00031	8.6226	0.0	0.0	0.00195822	0.00195822
0.00032	8.77578	0.0	0.0	0.00204089	0.00204089
0.00033	8.9317	0.0	0.0	0.00212503	0.00212503
0.00034	9.09041	0.0	0.0	0.00221067	0.00221067
0.00035	9.25197	0.0	0.0	0.00229783	0.00229783
0.00036	9.41641	0.0	0.0	0.00238653	0.00238653
0.00037	9.58381	0.0	0.0	0.00247682	0.00247682
0.00038	9.7542	0.0	0.0	0.00256871	0.00256871
0.00039	9.92764	0.0	0.0	0.00266223	0.00266223
0.0004	10.1042	0.102369	4.08751e-07	0.00275742	0.00275742
0.00041	10.2839	0.227176	2.05464e-06	0.00285429	0.00285429
0.00042	10.4667	0.354203	4.95968e-06	0.0029529	0.0029529
0.00043	10.6528	0.483489	9.14624e-06	0.00305325	0.00305325
0.00044	10.8422	0.615073	1.46371e-05	0.00315539	0.00315539
0.00045	11.035	0.748997	2.14555e-05	0.00325934	0.00325934
0.00046	11.2311	0.885301	2.9625e-05	0.00336515	0.00336515
0.00047	11.4308	1.02403	3.91696e-05	0.00347283	0.00347283
0.00048	11.6339	1.16522	5.01138e-05	0.00358243	0.00358243
0.00049	11.8407	1.30892	6.24824e-05	0.00369397	0.00369397
0.0005	12.0511	1.45518	7.63007e-05	0.0038075	0.0038075
0.00051	12.2652	1.60403	9.15946e-05	0.00392304	0.00392304
0.00052	12.4831	1.75553	0.00010839	0.00404064	0.00404064
0.00053	12.7049	1.90972	0.000126714	0.00416033	0.00416033
0.00054	12.9306	2.06665	0.000146594	0.00428214	0.00428214
0.00055	13.1602	2.22637	0.000168057	0.00440612	0.00440612
0.00056	13.3939	2.38893	0.000191131	0.0045323	0.0045323
0.00057	13.6318	2.55437	0.000215845	0.00466071	0.00466071
0.00058	13.8738	2.72275	0.000242228	0.00479141	0.00479141
0.00059	14.1201	2.89411	0.00027031	0.00492443	0.00492443
0.0006	14.3707	3.06852	0.00030012	0.00505981	0.00505981
0.00061	14.6257	3.24603	0.00033169	0.0051976	0.0051976
0.00062	14.8852	3.42668	0.000365051	0.00533782	0.00533782
0.00063	15.1493	3.61054	0.000400235	0.00548054	0.00548054
0.00064	15.418	3.79766	0.000437273	0.00562579	0.00562579
0.00065	15.6915	3.9881	0.000476199	0.00577361	0.00577361
0.00066	15.9697	4.18192	0.000517046	0.00592406	0.00592406
0.00067	16.2529	4.37917	0.000559849	0.00607717	0.00607717
0.00068	16.541	4.57993	0.000604641	0.006233	0.006233
0.00069	16.8341	4.78424	0.000651459	0.00639159	0.00639159
0.0007	17.1324	4.99217	0.000700338	0.00655299	0.00655299
0.00071	17.4359	5.20378	0.000751315	0.00671725	0.00671725
0.00072	17.7447	5.41914	0.000804426	0.00688442	0.00688442
0.00073	18.0589	5.63832	0.00085971	0.00705455	0.00705455
0.00074	18.3787	5.86137	0.000917206	0.00722769	0.00722769
0.00075	18.704	6.08838	0.000976951	0.0074039	0.0074039
0.00076	19.0349	6.3194	0.00103899	0.00758322	0.00758322
0.00077	19.3717	6.55451	0.00110335	0.00776572	0.00776572
0.00078	19.7143	6.79378	0.00117009	0.00795145	0.00795145
0.00079	20.0629	7.03728	0.00123924	0.00814046	0.00814046
0.0008	20.4176	7.28509	0.00131085	0.00833281	0.00833281
0.00081	20.7784	7.53727	0.00138496	0.00852856	0.00852856
0.00082	21.1455	7.79392	0.00146161	0.00872777	0.00872777
0.00083	21.519	8.05509	0.00154085	0.0089305	0.0089305
0.00084	21.8989	8.32088	0.00162273	0.00913681	0.00913681
0.00085	22.2855	8.59136	0.00170729	0.00934677	0.00934677
0.00086	22.6787	8.86661	0.00179457	0.00956043	0.00956043
0.00087	23.0788	9.14672	0.00188463	0.00977785	0.00977785
0.00088	23.4858	9.43177	0.00197752	0.00999912	0.00999912
0.00089	23.8998	9.72185	0.00207329	0.0102243	0.0102243
0.0009	24.321	10.017	0.00217198	0.0104534	0.0104534
0.00091	24.7494	10.3174	0.00227364	0.0106866	0.0106866
0.00092	25.1852	10.6231	0.00237834	0.0109239	0.0109239
0.00093	25.6286	10.9342	0.00248612	0.0111653	0.0111653
0.00094	26.0795	11.2507	0.00259704	0.011411	0.011411
0.00095	26.5382	11.5728	0.00271116	0.011661	0.011661
0.00096	27.0048	11.9006	0.00282852	0.0119155	0.0119155
0.00097	27.4794	12.2341	0.00294919	0.0121744	0.0121744
0.00098	27.9621	12.5735	0.00307322	0.0124378	0.0124378
0.00099	28.4531	12.9189	0.00320068	0.0127059	0.0127059
0.001	28.9525	13.2703	0.00333162	0.0129786	0.0129786
0.00101	29.4604	13.6279	0.0034661	0.0132562	0.0132562
0.00102	29.977	13.9917	0.0036042	0.0135386	0.0135386
0.00103	30.5024	14.3619	0.00374596	0.013826	0.013826
0.00104	31.0367	14.7387	0.00389146	0.0141184	0.0141184
0.00105	31.5801	15.122	0.00404075	0.014416	0.014416
0.00106	32.1328	15.512	0.00419392	0.0147187	0.0147187
0.00107	32.6948	15.9088	0.00435102	0.0150268	0.0150268
0.00108	33.2663	16.3126	0.00451212	0.0153402	0.0153402
0.00109	33.8475	16.7235	0.00467729	0.0156591	0.0156591
0.0011	34.4386	17.1415	0.00484661	0.0159836	0.0159836
0.00111	35.0395	17.5668	0.00502015	0.0163137	0.0163137
0.00112	35.6507	17.9996	0.00519797	0.0166496	0.0166496
0.00113	36.272	18.4398	0.00538016	0.0169914	0.0169914
0.00114	36.9039	18.8878	0.0055668	0.0173391	0.0173391
0.00115	37.5463	19.3436	0.00575795	0.0176929	0.0176929
0.00116	38.1995	19.8072	0.00595369	0.0180528	0.0180528
0.00117	38.8636	20.279	0.00615412	0.018419	0.018419
0.00118	39.5388	20.7589	0.0063593	0.0187915	0.0187915
0.00119	40.2252	21.2472	0.00656932	0.0191705	0.0191705
0.0012	40.9231	21.744	0.00678427	0.0195561	0.0195561
0.00121	41.6325	22.2494	0.00700423	0.0199484	0.0199484
0.00122	42.3537	22.7635	0.00722929	0.0203475	0.0203475
0.00123	43.0869	23.2865	0.00745953	0.0207535	0.0207535
0.00124	43.8321	23.8186	0.00769505	0.0211665	0.0211665
0.00125	44.5897	24.3599	0.00793594	0.0215867	0.0215867
0.00126	45.3597	24.9105	0.00818228	0.0220141	0.0220141
0.00127	46.1424	25.4707	0.00843418	0.0224489	0.0224489
0.00128	46.9379	26.0405	0.00869173	0.0228912	0.0228912
0.00129	47.7464	26.6201	0.00895502	0.0233411	0.0233411
0.0013	48.5681	27.2097	0.00922416	0.0237988	0.0237988
0.00131	49.4032	27.8094	0.00949925	0.0242643	0.0242643
0.00132	50.2519	28.4195	0.00978038	0.0247378	0.0247378
0.00133	51.1144	29.04	0.0100677	0.0252195	0.0252195
0.00134	51.9908	29.6712	0.0103612	0.0257094	0.0257094
0.00135	52.8813	30.3132	0.0106611	0.0262078	0.0262078
0.00136	53.7862	30.9662	0.0109675	0.0267146	0.0267146
0.00137	54.7057	31.6303	0.0112805	0.0272301	0.0272301
0.00138	55.6399	32.3058	0.0116002	0.0277545	0.0277545
0.00139	56.5891	32.9928	0.0119266	0.0282878	0.0282878
0.0014	57.5533	33.6916	0.0122601	0.0288301	0.0288301
0.00141	58.533	34.4022	0.0126005	0.0293817	0.0293817
0.00142	59.5282	35.1249	0.0129481	0.0299427	0.0299427
0.00143	60.5391	35.8599	0.0133031	0.0305133	0.0305133
0.00144	61.566	36.6074	0.0136654	0.0310935	0.0310935
0.00145	62.609	37.3676	0.0140352	0.0316835	0.0316835
0.00146	63.6685	38.1406	0.0144128	0.0322836	0.0322836
0.00147	64.7445	38.9267	0.0147981	0.0328938	0.0328938
0.00148	65.8373	39.7261	0.0151914	0.0335143	0.0335143
0.00149	66.947	40.5389	0.0155927	0.0341452	0.0341452
0.0015	68.074	41.3655	0.0160022	0.0347868	0.0347868
0.00151	69.2185	42.2059	0.01642	0.0354392	0.0354392
0.00152	70.3805	43.0605	0.0168463	0.0361025	0.0361025
0.00153	71.5604	43.9294	0.0172813	0.036777	0.036777
0.00154	72.7583	44.8129	0.017725	0.0374628	0.0374628
