t	p	V	L	psi	z
0.0	5.0	0.0	0.0	0.0	0.0
1e-05	5.06907	0.0	0.0	3.86368e-05	3.86368e-05
2e-05	5.1391	0.0	0.0	7.78074e-05	7.78074e-05
3e-05	5.21011	0.0	0.0	0.000117519	0.000117519
4e-05	5.2821	0.0	0.0	0.00015778	0.00015778
5e-05	5.35508	0.0	0.0	0.000198596	0.000198596
6e-05	5.42909	0.0	0.0	0.000239977	0.000239977
7e-05	5.50411	0.0	0.0	0.00028193	0.00028193
8e-05	5.58018	0.0	0.0	0.000324462	0.000324462
9e-05	5.65731	0.0	0.0	0.000367583	0.000367583
0.0001	5.73551	0.0	0.0	0.000411299	0.000411299
0.00011	5.81479	0.0	0.0	0.000455619	0.000455619
0.00012	5.89518	0.0	0.0	0.000500553	0.000500553
0.00013	5.97668	0.0	0.0	0.000546107	0.000546107
0.00014	6.05932	0.0	0.0	0.000592291	0.000592291
0.00015	6.1431	0.0	0.0	0.000639114	0.000639114
0.00016	6.22805	0.0	0.0	0.000686585	0.000686585
0.00017	6.31418	0.0	0.0	0.000734711	0.000734711
0.00018	6.40151	0.0	0.0	0.000783504	0.000783504
0.00019	6.49005	0.0	0.0	0.000832971	0.000832971
0.0002	6.57982	0.0	0.0	0.000883122	0.000883122
0.00021	6.67084	0.0	0.0	0.000933968	0.000933968
0.00022	6.76313	0.0	0.0	0.000985516	0.000985516
0.00023	6.85671	0.0	0.0	0.00103778	0.00103778
0.00024	6.95158	0.0	0.0	0.00109076	0.00109076
0.00025	7.04778	0.0	0.0	0.00114448	0.00114448
0.00026	7.14531	0.0	0.0	0.00119894	0.00119894
0.00027	7.2442	0.0	0.0	0.00125416	0.00125416
0.00028	7.34448	0.0	0.0	0.00131014	0.00131014
0.00029	7.44614	0.0	0.0	0.00136689	0.00136689
0.0003	7.54923	0.0	0.0	0.00142443	0.00142443
0.00031	7.65375	0.0	0.0	0.00148277	0.00148277
0.00032	7.75972	0.0	0.0	0.00154191	0.00154191
0.00033	7.86718	0.0	0.0	0.00160187	0.00160187
0.00034	7.97613	0.0	0.0	0.00166267	0.00166267
0.00035	8.0866	0.0	0.0	0.0017243	0.0017243
0.00036	8.19861	0.0	0.0	0.00178679	0.00178679
0.00037	8.31219	0.0	0.0	0.00185015	0.00185015
0.00038	8.42735	0.0	0.0	0.00191438	0.00191438
0.00039	8.54411	0.0	0.0	0.0019795	0.0019795
0.0004	8.66251	0.0	0.0	0.00204553	0.00204553
0.00041	8.78256	0.0	0.0	0.00211247	0.00211247
0.00042	8.90428	0.0	0.0	0.00218034	0.00218034
0.00043	9.02771	0.0	0.0	0.00224914	0.00224914
0.00044	9.15286	0.0	0.0	0.00231891	0.00231891
0.00045	9.27976	0.0	0.0	0.00238964	0.00238964
0.00046	9.40843	0.0	0.0	0.00246135	0.00246135
0.00047	9.5389	0.0	0.0	0.00253405	0.00253405
0.00048	9.6712	0.0	0.0	0.00260776	0.00260776
0.00049	9.80534	0.0	0.0	0.0026825	0.0026825
0.0005	9.94136	0.0	0.0	0.00275827	0.00275827
0.00051	10.0793	0.102274	4.08529e-07	0.00283509	0.00283509
0.00052	10.2191	0.226533	2.05114e-06	0.00291298	0.00291298
0.00053	10.3608	0.352517	4.94494e-06	0.00299195	0.00299195
0.00054	10.5045	0.480247	9.10729e-06	0.00307201	0.00307201
0.00055	10.6501	0.609749	1.45558e-05	0.00315319	0.00315319
0.00056	10.7978	0.741045	2.13083e-05	0.00323549	0.00323549
0.00057	10.9474	0.874162	2.93828e-05	0.00331893	0.00331893
0.00058	11.0991	1.00912	3.87976e-05	0.00340352	0.00340352
0.00059	11.2529	1.14596	4.95715e-05	0.00348929	0.00348929
0.0006	11.4088	1.28468	6.17231e-05	0.00357625	0.00357625
0.00061	11.5668	1.42533	7.52715e-05	0.00366441	0.00366441
0.00062	11.727	1.56793	9.02362e-05	0.00375379	0.00375379
0.00063	11.8893	1.7125	0.000106637	0.00384441	0.00384441
0.00064	12.0539	1.85907	0.000124493	0.00393629	0.00393629
0.00065	12.2207	2.00767	0.000143825	0.00402943	0.00402943
0.00066	12.3898	2.15833	0.000164653	0.00412387	0.00412387
0.00067	12.5612	2.31107	0.000186998	0.00421961	0.00421961
0.00068	12.7349	2.46593	0.000210882	0.00431668	0.00431668
0.00069	12.911	2.62292	0.000236324	0.00441508	0.00441508
0.0007	13.0895	2.78209	0.000263347	0.00451485	0.00451485
0.00071	13.2704	2.94346	0.000291973	0.004616	0.004616
0.00072	13.4538	3.10705	0.000322224	0.00471855	0.00471855
0.00073	13.6396	3.27291	0.000354122	0.00482251	0.00482251
0.00074	13.828	3.44106	0.00038769	0.00492791	0.00492791
0.00075	14.0189	3.61153	0.000422951	0.00503476	0.00503476
0.00076	14.2124	3.78435	0.000459928	0.00514309	0.00514309
0.00077	14.4085	3.95956	0.000498646	0.00525291	0.00525291
0.00078	14.6073	4.13718	0.000539128	0.00536425	0.00536425
0.00079	14.8087	4.31726	0.000581398	0.00547712	0.00547712
0.0008	15.0129	4.49982	0.000625481	0.00559156	0.00559156
0.00081	15.2198	4.68489	0.000671402	0.00570756	0.00570756
0.00082	15.4295	4.87252	0.000719187	0.00582517	0.00582517
0.00083	15.642	5.06273	0.000768861	0.0059444	0.0059444
0.00084	15.8574	5.25555	0.000820451	0.00606527	0.00606527
0.00085	16.0756	5.45104	0.000873981	0.0061878	0.0061878
0.00086	16.2968	5.64921	0.00092948	0.00631202	0.00631202
0.00087	16.521	5.85011	0.000986975	0.00643795	0.00643795
0.00088	16.7481	6.05377	0.00104649	0.0065656	0.0065656
0.00089	16.9783	6.26024	0.00110806	0.00669502	0.00669502
0.0009	17.2116	6.46954	0.00117171	0.00682621	0.00682621
0.00091	17.448	6.68171	0.00123746	0.00695921	0.00695921
0.00092	17.6875	6.8968	0.00130535	0.00709403	0.00709403
0.00093	17.9303	7.11484	0.00137541	0.0072307	0.0072307
0.00094	18.1762	7.33587	0.00144766	0.00736925	0.00736925
0.00095	18.4254	7.55993	0.00152213	0.00750969	0.00750969
0.00096	18.678	7.78707	0.00159887	0.00765207	0.00765207
0.00097	18.9339	8.01732	0.00167788	0.00779639	0.00779639
0.00098	19.1931	8.25072	0.00175922	0.00794269	0.00794269
0.00099	19.4559	8.48731	0.00184291	0.00809099	0.00809099
0.001	19.722	8.72715	0.00192898	0.00824133	0.00824133
0.00101	19.9917	8.97026	0.00201746	0.00839372	0.00839372
0.00102	20.265	9.2167	0.0021084	0.00854819	0.00854819
0.00103	20.5418	9.46651	0.00220181	0.00870477	0.00870477
0.00104	20.8223	9.71973	0.00229774	0.00886349	0.00886349
0.00105	21.1065	9.9764	0.00239622	0.00902438	0.00902438
0.00106	21.3944	10.2366	0.00249728	0.00918747	0.00918747
0.00107	21.6861	10.5003	0.00260096	0.00935277	0.00935277
0.00108	21.9816	10.7676	0.0027073	0.00952033	0.00952033
0.00109	22.2809	11.0386	0.00281632	0.00969018	0.00969018
0.0011	22.5842	11.3132	0.00292808	0.00986233	0.00986233
0.00111	22.8914	11.5916	0.0030426	0.0100368	0.0100368
0.00112	23.2026	11.8738	0.00315992	0.0102137	0.0102137
0.00113	23.5178	12.1598	0.00328009	0.010393	0.010393
0.00114	23.8372	12.4497	0.00340313	0.0105747	0.0105747
0.00115	24.1607	12.7435	0.0035291	0.0107589	0.0107589
